fiscal_year,year,month,month_numeric,imps_remitter_bank,volume_lakhs,value_cr,updated_on,released_on,data_source,data_url
2024-25,2024,October,10,CITIBANK,0.01,7.47,2026-04-03,2024-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,HDFC BANK,18.2,7401.8,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,YES BANK LTD,15.18,7003.78,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,FEDERAL BANK,12.54,5825.14,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,RBL BANK LIMITED,3.32,1702.8,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,ICICI BANK,2.76,966.74,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,EMIRATES NBD BANK,1.26,561.74,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,CANARA BANK,0.7,355.19,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,PUNJAB NATIONAL BANK,0.65,440.5,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,AXIS BANK,0.51,304.46,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,INDUSIND BANK,0.37,177.43,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,THE SOUTH INDIAN BANK,0.25,125.53,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,KOTAK MAHINDRA BANK,0.19,91.04,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,STATE BANK OF INDIA,0.12,41.72,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2024,September,9,CITIBANK,0.01,6,2026-04-03,2024-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,HDFC BANK,24.95,10383.36,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,FEDERAL BANK,24.18,9515.4,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,YES BANK LTD,14.94,7659.67,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,ICICI BANK,3.95,1398.07,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,RBL BANK LIMITED,3.62,2083.46,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,EMIRATES NBD BANK,1.63,745.43,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,THE SOUTH INDIAN BANK,0.85,427.34,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,CANARA BANK,0.74,351.06,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,PUNJAB NATIONAL BANK,0.65,495.95,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,AXIS BANK,0.52,342.08,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,INDUSIND BANK,0.38,208.98,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,KOTAK MAHINDRA BANK,0.26,153.68,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,STATE BANK OF INDIA,0.18,63.4,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,CITIBANK,0.01,8.98,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2024-25,2025,March,3,IDFC BANK,0,0.32,2026-04-03,2025-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,HDFC BANK,35.25,13423.97,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,FEDERAL BANK,20.7,9088.92,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,YES BANK LTD,13.49,6673.24,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,ICICI BANK,3.51,1250.94,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,RBL BANK LIMITED,3.48,2209.44,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,EMIRATES NBD BANK,1.66,780.23,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,CANARA BANK,0.87,467.9,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,PUNJAB NATIONAL BANK,0.6,455.13,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,AXIS BANK,0.42,308.26,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,THE SOUTH INDIAN BANK,0.3,117.49,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,STATE BANK OF INDIA,0.28,135.44,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,KOTAK MAHINDRA BANK,0.27,166.77,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,INDUSIND BANK,0.14,130.77,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,IDFC BANK,0.03,22.67,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,August,8,CITIBANK,0.02,12.31,2026-04-03,2025-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,HDFC BANK,37.39,15739.21,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,FEDERAL BANK,25.39,11401.99,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,YES BANK LTD,11.84,6262.60,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,RBL BANK LIMITED,6.72,3520.69,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,ICICI BANK,2.62,957.05,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,EMIRATES NBD BANK,1.60,751.23,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,CANARA BANK,0.94,544.68,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,PUNJAB NATIONAL BANK,0.60,464.48,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,AXIS BANK,0.48,329.18,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,STATE BANK OF INDIA,0.47,214.08,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,THE SOUTH INDIAN BANK,0.31,126.48,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,KOTAK MAHINDRA BANK,0.30,175.49,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,INDUSIND BANK,0.15,151.71,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,IDFC BANK,0.08,65.81,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,CITIBANK,0.03,17.85,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,December,12,STANDARD CHARTERED BANK,0.023,19.89,2026-04-03,2026-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,HDFC BANK,42.09,17528.96,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,FEDERAL BANK,24.64,11317.30,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,YES BANK LTD,11.49,6209.05,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,RBL BANK LIMITED,5.46,3484.82,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,ICICI BANK,2.55,899.96,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,EMIRATES NBD BANK,1.59,746.52,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,CANARA BANK,0.91,521.29,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,PUNJAB NATIONAL BANK,0.55,426.74,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,AXIS BANK,0.46,306.72,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2026,January,1,THE SOUTH INDIAN BANK,0.35,140.10,2026-04-03,2026-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
