fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,July,7,8,2021-07-08,3.27,885.60,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,9,2021-07-09,3.37,918.98,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,10,2021-07-10,3.23,864.92,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,11,2021-07-11,2.17,548.37,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,12,2021-07-12,3.27,889.66,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,13,2021-07-13,3.15,861.56,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,14,2021-07-14,3.09,830.88,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,15,2021-07-15,2.99,801.09,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,16,2021-07-16,2.86,762.13,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,17,2021-07-17,2.66,686.50,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,18,2021-07-18,2.08,495.59,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,19,2021-07-19,3.16,805.36,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,20,2021-07-20,3.13,796.68,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,21,2021-07-21,2.39,588.82,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,22,2021-07-22,2.72,690.99,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,23,2021-07-23,2.77,712.26,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,24,2021-07-24,2.31,602.25,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,25,2021-07-25,1.82,435.43,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,26,2021-07-26,2.69,702.00,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,27,2021-07-27,2.45,646.19,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,28,2021-07-28,2.31,605.17,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,29,2021-07-29,2.51,645.59,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,30,2021-07-30,2.87,726.88,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,31,2021-07-31,2.50,660.06,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,1,2021-08-01,2.50,644.57,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,2,2021-08-02,3.56,978.44,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,3,2021-08-03,3.43,942.26,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,4,2021-08-04,3.42,921.08,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,5,2021-08-05,3.54,930.12,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,6,2021-08-06,3.19,832.48,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,7,2021-08-07,3.05,808.73,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,8,2021-08-08,2.48,610.01,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,9,2021-08-09,3.85,981.08,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,10,2021-08-10,5.69,1372.97,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
